board state,rotation,x_pos,reward
"[[1, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",1,2,5.911747454118064
"[[1, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,2,11.385811371828588
"[[0, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,2,4.743507956474742
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,0,15.27363556780138
"[[1, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,1,18.272304845820194
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",2,2,4.951105396747132
"[[0, 0, 1], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,0,10.162149068340826
"[[0, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,0,16.612407692449473
"[[1, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,1,28.643834530295948
"[[1, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,0,2.3541314816
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,1,26.894481036502732
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,0,16.65301171670648
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",0,1,12.472498330763498
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,2,12.920322029999468
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",3,0,6.439330195142427
"[[1, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",1,1,14.690986471380047
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",1,0,6.978703813242403
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,2,17.027184630095373
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",0,1,12.292109646087589
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",3,1,5.4548238607342086
"[[0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,1,6.974396953321669
"[[0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,0,3.991351725760072
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,0,5.777707982680763
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",2,0,18.259451835555904
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",3,2,15.140428963987757
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",1,2,13.598252203966716
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,1,8.033964347050304
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,2,4.49528424212713
"[[0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,1,-10.40824972747369
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",1,0,13.751850292148712
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",1,1,23.082208018367805
"[[1, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",0,2,11.56052648077787
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",0,2,12.717565464966551
"[[1, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,2,15.231101209818295
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",1,2,13.900783240347437
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",2,2,14.07280719149713
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,0,16.899633864255303
"[[0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,1,4.308365157879782
"[[0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,0,5.034198150806
"[[1, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,2,15.343584049935988
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,1,-13.969495696856947
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",1,2,5.149746619477545
"[[0, 0, 1], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",2,0,16.77987367896776
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",3,2,9.18238248287303
"[[0, 0, 1], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",1,0,12.22575470706076
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",3,2,3.5064303053241925
"[[0, 0, 1], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",2,0,2.093361022067658
"[[0, 0, 1], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,1,10.421322377283072
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",0,1,5.225162439615637
"[[0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1]][[1]]",3,2,13.554351655322295
"[[0, 0, 1], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",2,1,-12.095707207284534
"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]][[1]]",0,0,10.935523471386386
"[[1, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,2,10.144739645766261
"[[1, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,1,20.467216874373975
"[[1, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",2,2,5.604414543856225
"[[1, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",0,2,6.0730322038333195
"[[1, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",2,1,12.85624510826154
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",1,2,14.04539265276299
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,2,16.791803151445357
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",1,0,11.464557483707855
"[[1, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",3,2,11.634951407195183
"[[1, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",3,2,10.536913172664175
"[[1, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,1,27.48993443631982
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",3,1,22.3435610410727
"[[0, 0, 1], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",3,1,-14.073583637318109
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",1,1,6.752020528964897
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,2,7.7571786237701845
"[[0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,0,8.495876620226094
"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]][[1]]",2,1,6.915465581636214
"[[0, 0, 0], [0, 1, 0], [0, 1, 0], [1, 1, 1]][[1]]",1,2,-1.1253181351885044
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",3,1,-8.26381938328774
"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]][[1]]",3,1,6.607903660116497
"[[0, 0, 0], [0, 1, 0], [0, 1, 0], [1, 1, 1]][[1]]",3,2,0.5362363524567175
"[[0, 0, 0], [0, 1, 0], [0, 1, 1], [1, 1, 1]][[1]]",1,0,12.338420277608595
"[[0, 0, 0], [0, 1, 0], [0, 1, 0], [1, 1, 1]][[1]]",3,1,-8.198977523056765
"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]][[1]]",1,1,5.8246383698058795
"[[0, 0, 0], [0, 1, 0], [0, 1, 0], [1, 1, 1]][[1]]",3,0,0.4266523680036174
"[[0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,0,1.8517800318318176
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,1,-6.253532595127835
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",1,1,10.386149255262538
"[[0, 0, 0], [0, 1, 0], [0, 1, 0], [1, 1, 1]][[1]]",1,1,-7.8900492999971785
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,0,6.579020232302645
